institution	country	location	location_abbr
University of Southern Mississippi	USA	Hattiesburg	MS
University of Wrocław	Poland		
Carlos III University of Madrid	Spain		
Novosibirsk State University	Russia		
Nanjing Medical University	China		
Nicolaus Copernicus University in Toruń	Poland		
Federal University of Santa Maria	Brazil		
Chemnitz University of Technology	Germany		
Southwest University	China		
Wrocław University of Technology	Poland		
University of California, Merced	USA		
United Arab Emirates University	United Arab Emirates		
Federal University of São Carlos	Brazil		
University of Thessaly	Greece		
University of Basilicata	Italy		
Feng Chia University	Taiwan		
Federal University of Paraná	Brazil		
University of Almería	Spain		
Hallym University	South Korea		
Fourth Military Medical University	China		
University of the Republic (Uruguay)	Uruguay		
Dokuz Eylül University	Turkey		
Nanjing University of Aeronautics and Astronautics	China		
Public University of Navarre	Spain		
University of A Coruña	Spain		
Isfahan University of Technology	Iran		
University of New England (Australia)	Australia		
Federal University of Pernambuco	Brazil		
Jiangsu University	China		
Third Military Medical University	China		
South China Normal University	China		
University of Limerick	Ireland		
Xiangtan University	China		
Yangzhou University	China		
Northwestern Polytechnical University	China		
University of Reims Champagne-Ardenne	France		
Ibaraki University	Japan		
Chung Shan Medical University	Taiwan		
Alexandria University	Egypt		
Yuan Ze University	Taiwan		
University of Cyprus	Cyprus		
University of Silesia	Poland		
Southern Medical University	China		
Shiraz University	Iran		
University of Bucharest	Romania		
Mansoura University	Egypt		
Amirkabir University of Technology	Iran		
Beijing Jiaotong University	China		
University of Valenciennes and Hainaut-Cambresis	France		
University of the Algarve	Portugal		
University of Chemistry and Technology, Prague	Czech Republic		
Federal University of Ceará	Brazil		
Ain Shams University	Egypt		
University of Oldenburg	Germany		
Federal University of Bahia	Brazil		
Hunan Normal University	China		
Western Michigan University	USA	Kalamazoo	MI
University of Seoul	South Korea		
Federico Santa María Technical University	Chile		
Ryerson University	Canada		
South China Agricultural University	China		
Fu Jen Catholic University	Taiwan		
China Pharmaceutical University	China		
Tarbiat Modares University	Iran		
University of Puerto Rico at Mayagüez	Puerto Rico		
National University of Rosario	Argentina		
University of Pau and Pays de l'Adour	France		
Xidian University	China		
Zhejiang University of Technology	China		
China Medical University (PRC)	China		
Federal University of ABC	Brazil		
King Juan Carlos University	Spain		
Beijing University of Technology	China		
Guangxi University	China		
Northwest A&F University	China		
Shanxi University	China		
Tamkang University	Taiwan		
Harbin Medical University	China		
Zhejiang Normal University	China		
King Abdulaziz University	Saudi Arabia		
Iran University of Science and Technology	Iran		
I-Shou University	Taiwan		
University of Maine (Le Mans)	France		
National Dong Hwa University	Taiwan		
National Taipei University of Technology	Taiwan		
Shaanxi Normal University	China		
National University of Defense Technology	China		
Yanbian University	China		
University of Montpellier	France		
Moscow Institute of Physics and Technology	Russia		
University of Bordeaux	France		
University of Oklahoma Health Sciences Center	USA		
Renmin University of China	China		
École normale supérieure de Cachan	France		
National Research Nuclear University MEPhI	Russia		
Jacobs University Bremen	Germany		
École centrale de Lyon	France		
Hefei University of Technology	China		
University of Calcutta	India		
China University of Geosciences (Wuhan)	China		
University of Lethbridge	Canada		
Shahid Beheshti University of Medical Sciences	Iran		
University of Central Lancashire	United Kingdom		
Gachon University	South Korea		
Harbin Engineering University	China		
Ulsan National Institute of Science and Technology	South Korea		
Shenzhen University	China		
Tianjin Medical University	China		
Babeș-Bolyai University	Romania		
Henan Normal University	China		
Southwest Jiaotong University	China		
University of California--Berkeley	USA	Berkeley	CA
University of California--Los Angeles	USA	Los Angeles	CA
University of Michigan--Ann Arbor	USA	Ann Arbor	MI
University of North Carolina--Chapel Hill	USA	Chapel Hill	NC
College of William & Mary	USA	Williamsburg	VA
University of California--Santa Barbara	USA	Santa Barbara	CA
University of California--Irvine	USA	Irvine	CA
University of California--Davis	USA	Davis	CA
University of California--San Diego	USA	La Jolla	CA
University of Illinois--Urbana-Champaign	USA	Champaign	IL
University of Wisconsin--Madison	USA	Madison	WI
Pepperdine University	USA	Malibu	CA
Villanova University	USA	Villanova	PA
Pennsylvania State University--University Park	USA	University Park	PA
Ohio State University--Columbus	USA	Columbus	OH
University of Washington	USA	Seattle	WA
University of Texas--Austin	USA	Austin	TX
Fordham University	USA	New York	NY
Purdue University--West Lafayette	USA	West Lafayette	IN
University of Maryland--College Park	USA	College Park	MD
Worcester Polytechnic Institute	USA	Worcester	MA
Brigham Young University--Provo	USA	Provo	UT
University of Pittsburgh	USA	Pittsburgh	PA
Rutgers University--New Brunswick	USA	Piscataway	NJ
Stevens Institute of Technology	USA	Hoboken	NJ
University of Minnesota--Twin Cities	USA	Minneapolis	MN
American University	USA	Washington	DC
Clark University	USA	Worcester	MA
Texas A&M University--College Station	USA	College Station	TX
University of Massachusetts--Amherst	USA	Amherst	MA
Virginia Tech	USA	Blacksburg	VA
Miami University--Oxford	USA	Oxford	OH
University of California--Santa Cruz	USA	Santa Cruz	CA
Texas Christian University	USA	Fort Worth	TX
Binghamton University--SUNY	USA	Binghamton	NY
Indiana University--Bloomington	USA	Bloomington	IN
University of San Diego	USA	San Diego	CA
University of Tulsa	USA	Tulsa	OK
North Carolina State University--Raleigh	USA	Raleigh	NC
University of Colorado--Boulder	USA	Boulder	CO
Stony Brook University--SUNY	USA	Stony Brook	NY
SUNY College of Environmental Science and Forestry	USA	Syracuse	NY
University at Buffalo--SUNY	USA	Buffalo	NY
University of Alabama	USA	Tuscaloosa	AL
University of Tennessee	USA	Knoxville	TN
University of San Francisco	USA	San Francisco	CA
University of South Carolina	USA	Columbia	SC
University of Missouri	USA	Columbia	MO
University of Nebraska--Lincoln	USA	Lincoln	NE
University of Oklahoma	USA	Norman	OK
University of the Pacific	USA	Stockton	CA
Seton Hall University	USA	South Orange	NJ
University of California--Riverside	USA	Riverside	CA
University of St. Thomas	USA	St. Paul	MN
DePaul University	USA	Chicago	IL
Duquesne University	USA	Pittsburgh	PA
Arizona State University--Tempe	USA	Tempe	AZ
Colorado State University	USA	Fort Collins	CO
New School	USA	New York	NY
Hofstra University	USA	Hempstead	NY
Louisiana State University--Baton Rouge	USA	Baton Rouge	LA
Mercer University	USA	Macon	GA
Rutgers University--Newark	USA	Newark	NJ
University of Arkansas	USA	Fayetteville	AR
University of Mississippi	USA	University	MS
Washington State University	USA	Pullman	WA
Adelphi University	USA	Garden City	NY
St. John Fisher College	USA	Rochester	NY
University at Albany--SUNY	USA	Albany	NY
University of Texas--Dallas	USA	Richardson	TX
Illinois State University	USA	Normal	IL
Immaculata University	USA	Immaculata	PA
Oklahoma State University	USA	Stillwater	OK
University of California--Merced	USA	Merced	CA
University of Illinois--Chicago	USA	Chicago	IL
University of La Verne	USA	La Verne	CA
University of Massachusetts--Lowell	USA	Lowell	MA
Seattle Pacific University	USA	Seattle	WA
University of Alabama--Birmingham	USA	Birmingham	AL
University of Maryland--Baltimore County	USA	Baltimore	MD
University of South Florida	USA	Tampa	FL
Biola University	USA	La Mirada	CA
Maryville University of St. Louis	USA	St Louis	MO
Missouri University of Science & Technology	USA	Rolla	MO
St. John's University	USA	Queens	NY
Union University	USA	Jackson	TN
University of Hawaii--Manoa	USA	Honolulu	HI
Edgewood College	USA	Madison	WI
Ball State University	USA	Muncie	IN
Lipscomb University	USA	Nashville	TN
Montclair State University	USA	Montclair	NJ
Texas Tech University	USA	Lubbock	TX
Andrews University	USA	Berrien Springs	MI
Azusa Pacific University	USA	Azusa	CA
University of Maine	USA	Orono	ME
Widener University	USA	Chester	PA
North Dakota State University	USA	Fargo	ND
Pace University	USA	New York	NY
Robert Morris University	USA	Moon Township	PA
Suffolk University	USA	Boston	MA
University of Hartford	USA	West Hartford	CT
Indiana University-Purdue University--Indianapolis	USA	Indianapolis	IN
Lesley University	USA	Cambridge	MA
University of Alabama--Huntsville	USA	Huntsville	AL
University of Colorado--Denver	USA	Denver	CO
University of Nevada--Reno	USA	Reno	NV
California State University--Fullerton	USA	Fullerton	CA
Central Michigan University	USA	Mount Pleasant	MI
South Dakota State University	USA	Brookings	SD
University of Alaska--Fairbanks	USA	Fairbanks	AK
University of North Carolina--Charlotte	USA	Charlotte	NC
University of South Dakota	USA	Vermillion	SD
Montana State University	USA	Bozeman	MT
University of Missouri--Kansas City	USA	Kansas City	MO
Ashland University	USA	Ashland	OH
Dallas Baptist University	USA	Dallas	TX
Nova Southeastern University	USA	Ft. Lauderdale	FL
Southern Illinois University--Carbondale	USA	Carbondale	IL
University of Montana	USA	Missoula	MT
Benedictine University	USA	Lisle	IL
California State University--Fresno	USA	Fresno	CA
Gardner-Webb University	USA	Boiling Springs	NC
Shenandoah University	USA	Winchester	VA
Tennessee Technological University	USA	Cookeville	TN
University of Massachusetts--Boston	USA	Boston	MA
University of Massachusetts--Dartmouth	USA	North Dartmouth	MA
University of Missouri--St. Louis	USA	St. Louis	MO
University of North Carolina--Greensboro	USA	Greensboro	NC
